Horizon started successfully.
[2019-05-13 22:50:31][154] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:31][155] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:31][155] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:31][156] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:32][156] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:32][157] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:33][157] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:33][158] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:34][158] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:34][159] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:34][159] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:34][160] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:35][160] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:35][161] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:36][161] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:36][162] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:37][162] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:37][163] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:37][163] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:37][164] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:38][164] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:38][165] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:39][165] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:39][166] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:39][166] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:39][167] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:40][167] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:40][168] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:41][168] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:41][169] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:41][169] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:41][170] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:42][170] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:42][171] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:43][171] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:43][172] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:43][172] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:43][173] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:44][173] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:44][174] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:45][174] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:45][175] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:45][175] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:45][176] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:46][176] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:46][177] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:47][177] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:47][178] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:47][178] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:47][179] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:48][179] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:48][180] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:48][180] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:48][181] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:49][181] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:49][182] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:49][182] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:49][183] Processing: App\Jobs\ProcessDois
